step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
99,1,0.789956,0.0,0.789956,0.0,0.0,1e-05,0.315862,5.34375,5.15625,8.228e-05,1.3e-07
100,1,0.764903,0.0,0.764903,0.0,0.0,1e-05,0.234628,5.9375,5.875,8.379e-05,1.1e-07
101,1,0.713237,0.0,0.713237,0.0,0.0,1e-05,0.402264,5.34375,5.75,8.558e-05,2.3e-07
102,1,0.726665,0.0,0.726665,0.0,0.0,1e-05,0.256717,5.84375,6.125,8.794e-05,4e-08
103,1,0.636567,0.0,0.636567,0.0,0.0,1e-05,0.186159,6.15625,5.875,9.022e-05,7e-08
104,1,0.728589,0.0,0.728589,0.0,0.0,1e-05,0.24072,6.25,6.03125,9.241e-05,3e-08
105,1,0.653167,0.0,0.653167,0.0,0.0,1e-05,0.213109,5.3125,5.96875,9.458e-05,9e-08
106,1,0.693848,0.0,0.693848,0.0,0.0,1e-05,0.216597,5.09375,5.4375,9.693e-05,8e-08
107,1,0.573469,0.0,0.573469,0.0,0.0,1e-05,0.207753,5.625,5.8125,9.898e-05,2.5e-07
108,1,0.704129,0.0,0.704129,0.0,0.0,1e-05,0.23252,5.625,5.1875,9.95e-05,7e-08
109,1,0.679091,0.0,0.679091,0.0,0.0,1e-05,0.244224,5.3125,5.40625,0.00010006,2e-08
110,1,0.688993,0.0,0.688993,0.0,0.0,1e-05,0.149466,,,,
111,2,0.655828,0.0,0.655828,0.0,0.0,1e-05,0.276547,4.28125,5.3125,0.00010107,1.7e-07
112,2,0.705429,0.0,0.705429,0.0,0.0,1e-05,0.200104,4.78125,5.625,0.00010141,2e-08
113,2,0.589906,0.0,0.589906,0.0,0.0,1e-05,0.202834,5.6875,5.15625,0.00010177,1.2e-07
114,2,0.734407,0.0,0.734407,0.0,0.0,1e-05,0.209928,5.46875,5.75,0.00010239,2e-08
115,2,0.701551,0.0,0.701551,0.0,0.0,1e-05,0.252011,6.21875,5.90625,0.000103,8e-08
116,2,0.663423,0.0,0.663423,0.0,0.0,1e-05,0.235797,5.03125,5.25,0.00010348,7e-08
117,2,0.702891,0.0,0.702891,0.0,0.0,1e-05,0.193309,4.6875,5.4375,0.00010408,3e-08
118,2,0.670062,0.0,0.670062,0.0,0.0,1e-05,0.332441,4.90625,5.28125,0.00010464,1.9e-07
119,2,0.625856,0.0,0.625856,0.0,0.0,1e-05,0.231633,4.15625,5.6875,0.00010494,1.3e-07
120,2,0.705341,0.0,0.705341,0.0,0.0,1e-05,0.34328,5.40625,5.1875,0.00010568,1.9e-07
121,2,0.761213,0.0,0.761213,0.0,0.0,1e-05,0.197302,5.34375,5.75,0.00010692,3e-08
122,2,0.652793,0.0,0.652793,0.0,0.0,1e-05,0.192587,4.28125,5.8125,0.00010809,4e-08
123,2,0.730724,0.0,0.730724,0.0,0.0,1e-05,0.215446,4.75,4.875,0.00010918,4e-08
124,2,0.621821,0.0,0.621821,0.0,0.0,1e-05,0.178103,4.9375,5.375,0.00011016,6e-08
