step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
84,1,0.403715,0.0,0.403715,0.0,0.083,3e-05,0.723082,4.6875,5.28125,0.00023085,6e-08
85,1,0.448371,0.0,0.448371,0.0,0.084,3e-05,3.649107,5.65625,5.9375,0.0002339,1.4e-07
86,1,0.377393,0.0,0.377393,0.0,0.085,3e-05,0.985595,4.6875,5.3125,0.00023718,1.1e-07
87,1,0.645005,0.0,0.645005,0.0,0.086,3e-05,12.199043,4.71875,5.15625,0.000241,8e-08
88,1,0.579476,0.0,0.579476,0.0,0.087,3e-05,20.662413,3.890625,5.28125,0.00024543,4e-08
89,1,0.423525,0.0,0.423525,0.0,0.088,3e-05,0.649025,5.46875,5.8125,0.00024957,5e-08
90,1,0.577555,0.0,0.577555,0.0,0.089,3e-05,2.692366,5.5625,5.9375,0.00025346,6e-08
91,1,0.384635,0.0,0.384635,0.0,0.09,3e-05,2.288898,4.9375,5.09375,0.0002573,1.3e-07
92,1,0.362564,0.0,0.362564,0.0,0.091,3e-05,0.529795,6.5625,6.9375,0.00025987,6e-08
93,1,0.43669,0.0,0.43669,0.0,0.092,3e-05,3.588116,4.09375,5.28125,0.0002621,1.1e-07
94,1,0.46034,0.0,0.46034,0.0,0.093,3e-05,0.873528,5.5625,5.75,0.00026467,1.8e-07
95,1,0.477616,0.0,0.477616,0.0,0.094,3e-05,1.014732,4.6875,6.59375,0.00026736,8e-08
96,1,0.409953,0.0,0.409953,0.0,0.095,3e-05,1.064674,4.21875,5.8125,0.00027027,1e-07
97,1,0.389545,0.0,0.389545,0.0,0.096,3e-05,0.775505,4.78125,5.375,0.0002733,1.1e-07
98,1,0.474453,0.0,0.474453,0.0,0.097,3e-05,0.463716,6.1875,6.3125,0.00027617,1e-07
99,1,0.573538,0.0,0.573538,0.0,0.098,3e-05,6.326838,5.625,6.1875,0.00027887,8e-08
100,1,0.383764,0.0,0.383764,0.0,0.099,3e-05,0.374512,4.375,5.125,0.00028217,4e-08
101,1,0.473299,0.0,0.473299,0.0,0.1,3e-05,0.406235,5.125,5.75,0.00028503,4e-08
102,1,0.442495,0.0,0.442495,0.0,0.101,3e-05,3.223113,4.96875,5.5,0.00028773,1.1e-07
103,1,0.409926,0.0,0.409926,0.0,0.102,3e-05,0.595819,5.9375,6.0625,0.00028989,3e-08
104,1,0.37881,0.0,0.37881,0.0,0.103,3e-05,0.700415,5.28125,5.3125,0.00029205,5e-08
105,1,0.426926,0.0,0.426926,0.0,0.104,3e-05,0.6392,4.75,5.5625,0.00029388,4e-08
106,1,0.53376,0.0,0.53376,0.0,0.105,3e-05,0.417389,5.09375,5.4375,0.00029576,4e-08
107,1,0.398931,0.0,0.398931,0.0,0.106,3e-05,0.546369,5.6875,5.5625,0.00029759,5e-08
108,1,0.413959,0.0,0.413959,0.0,0.107,3e-05,0.294147,3.703125,5.53125,0.00029934,2e-08
109,1,0.365419,0.0,0.365419,0.0,0.108,3e-05,0.566739,6.34375,6.21875,0.00030105,5e-08
110,1,0.384733,0.0,0.384733,0.0,0.109,3e-05,1.308298,,,,
111,2,0.429096,0.0,0.429096,0.0,0.11,3e-05,1.256601,5.84375,5.96875,0.00030443,4e-08
112,2,0.335568,0.0,0.335568,0.0,0.111,3e-05,0.372278,4.96875,5.25,0.00030599,2e-08
113,2,0.400717,0.0,0.400717,0.0,0.112,3e-05,1.494067,5.34375,5.6875,0.00030752,1.8e-07
114,2,0.508382,0.0,0.508382,0.0,0.113,3e-05,0.529265,4.84375,5.6875,0.00030749,5e-08
115,2,0.473895,0.0,0.473895,0.0,0.114,3e-05,0.795695,4.25,5.25,0.00030762,8e-08
116,2,0.352252,0.0,0.352252,0.0,0.115,3e-05,0.826505,5.1875,6.125,0.0003079,2.1e-07
117,2,0.330982,0.0,0.330982,0.0,0.116,3e-05,0.506334,5.09375,5.09375,0.00030841,4e-08
118,2,0.446138,0.0,0.446138,0.0,0.117,3e-05,0.599994,4.65625,5.84375,0.00030917,3e-08
119,2,0.382378,0.0,0.382378,0.0,0.118,3e-05,2.035521,4.65625,5.25,0.00031016,9e-08
120,2,0.468769,0.0,0.468769,0.0,0.119,3e-05,0.393198,2.875,5.125,0.00031109,2e-08
121,2,0.411507,0.0,0.411507,0.0,0.12,3e-05,0.298595,5.3125,5.5625,0.00031209,3e-08
122,2,0.377164,0.0,0.377164,0.0,0.121,3e-05,0.730571,4.84375,5.40625,0.00031321,5e-08
123,2,0.420381,0.0,0.420381,0.0,0.122,3e-05,0.531213,4.0625,5.78125,0.00031442,6e-08
